cdl,state,cdl_a,cdl_b,plant_begin_a,plant_begin_active_begin_a,plant_begin_active_end_a,plant_end_a,harvest_begin_a,harvest_begin_active_begin_a,harvest_begin_active_end_a,harvest_end_a,plant_begin_b,plant_begin_active_begin_b,plant_begin_active_end_b,plant_end_b,harvest_begin_b,harvest_begin_active_begin_b,harvest_begin_active_end_b,harvest_end_b
2,GA,,,16-Apr,30-Apr,19-May,30-May,15-Jun,3-Jul,10-Jul,27-Jul,,,,,,,,
2,ID,,,15-Apr,5-May,22-May,3-Jun,16-Jun,23-Jun,6-Jul,25-Jul,,,,,,,,
2,IL,,,10-Apr,19-Apr,1-May,17-May,29-May,15-Jun,26-Jun,7-Jul,,,,,,,,
2,IN,,,8-Apr,20-Apr,4-May,11-May,24-May,4-Jun,13-Jun,20-Jun,,,,,,,,
2,IA,,,21-Apr,30-Apr,11-May,30-May,10-Jun,25-Jun,6-Jul,14-Jul,,,,,,,,
2,KS,,,18-Apr,6-May,26-May,2-Jun,9-Jun,29-Jun,6-Jul,23-Jul,,,,,,,,
2,KY,,,12-Apr,19-Apr,4-May,19-May,27-May,8-Jun,28-Jun,14-Jul,,,,,,,,
2,LA,,,21-Apr,8-May,23-May,30-May,7-Jun,21-Jun,6-Jul,18-Jul,,,,,,,,
2,ME,,,17-Apr,3-May,11-May,25-May,14-Jun,25-Jun,3-Jul,11-Jul,,,,,,,,
2,MD,,,13-Apr,22-Apr,9-May,20-May,5-Jun,12-Jun,23-Jun,13-Jul,,,,,,,,
2,MA,,,10-Apr,23-Apr,1-May,20-May,29-May,17-Jun,25-Jun,11-Jul,,,,,,,,
2,MI,,,18-Apr,8-May,23-May,30-May,11-Jun,27-Jun,17-Jul,29-Jul,,,,,,,,
2,MN,,,14-Apr,27-Apr,17-May,24-May,13-Jun,23-Jun,10-Jul,17-Jul,,,,,,,,
2,MS,,,15-Apr,3-May,16-May,25-May,1-Jun,10-Jun,23-Jun,3-Jul,,,,,,,,
2,MO,,,21-Apr,3-May,16-May,23-May,4-Jun,18-Jun,1-Jul,15-Jul,,,,,,,,
2,MT,,,14-Apr,4-May,11-May,26-May,12-Jun,26-Jun,7-Jul,17-Jul,,,,,,,,
2,NE,,,13-Apr,21-Apr,29-Apr,15-May,4-Jun,24-Jun,7-Jul,19-Jul,,,,,,,,
2,NV,,,16-Apr,1-May,9-May,19-May,2-Jun,9-Jun,18-Jun,1-Jul,,,,,,,,
2,NH,,,16-Apr,27-Apr,15-May,31-May,13-Jun,1-Jul,21-Jul,3-Aug,,,,,,,,
2,NJ,,,17-Apr,26-Apr,5-May,17-May,24-May,2-Jun,19-Jun,26-Jun,,,,,,,,
2,NM,,,16-Apr,26-Apr,12-May,24-May,31-May,13-Jun,24-Jun,1-Jul,,,,,,,,
2,NY,,,19-Apr,27-Apr,4-May,12-May,27-May,7-Jun,18-Jun,1-Jul,,,,,,,,
2,NC,,,9-Apr,27-Apr,14-May,28-May,13-Jun,30-Jun,7-Jul,18-Jul,,,,,,,,
2,ND,,,12-Apr,27-Apr,6-May,23-May,12-Jun,27-Jun,5-Jul,13-Jul,,,,,,,,
2,OH,,,21-Apr,4-May,15-May,24-May,9-Jun,24-Jun,3-Jul,16-Jul,,,,,,,,
2,OK,,,14-Apr,1-May,15-May,30-May,15-Jun,2-Jul,20-Jul,9-Aug,,,,,,,,
2,OR,,,13-Apr,23-Apr,30-Apr,13-May,28-May,14-Jun,28-Jun,9-Jul,,,,,,,,
2,PA,,,13-Apr,1-May,21-May,10-Jun,25-Jun,8-Jul,24-Jul,9-Aug,,,,,,,,
2,RI,,,13-Apr,27-Apr,8-May,28-May,14-Jun,25-Jun,7-Jul,20-Jul,,,,,,,,
2,SC,,,18-Apr,26-Apr,4-May,11-May,28-May,7-Jun,21-Jun,29-Jun,,,,,,,,
2,SD,,,15-Apr,2-May,13-May,22-May,29-May,11-Jun,24-Jun,10-Jul,,,,,,,,
2,TN,,,21-Apr,29-Apr,14-May,24-May,11-Jun,28-Jun,18-Jul,7-Aug,,,,,,,,
2,TX,,,20-Apr,3-May,13-May,25-May,6-Jun,17-Jun,4-Jul,11-Jul,,,,,,,,
2,UT,,,21-Apr,9-May,18-May,29-May,16-Jun,4-Jul,15-Jul,29-Jul,,,,,,,,
2,VT,,,12-Apr,28-Apr,10-May,23-May,30-May,14-Jun,25-Jun,11-Jul,,,,,,,,
2,VA,,,9-Apr,28-Apr,16-May,5-Jun,16-Jun,4-Jul,17-Jul,29-Jul,,,,,,,,
2,WA,,,20-Apr,10-May,28-May,16-Jun,28-Jun,5-Jul,24-Jul,3-Aug,,,,,,,,
2,WV,,,9-Apr,21-Apr,7-May,20-May,29-May,17-Jun,1-Jul,16-Jul,,,,,,,,
2,WI,,,11-Apr,27-Apr,12-May,25-May,8-Jun,21-Jun,11-Jul,28-Jul,,,,,,,,
2,WY,,,21-Apr,28-Apr,17-May,29-May,18-Jun,7-Jul,14-Jul,31-Jul,,,,,,,,
3,AL,,,15-Apr,22-Apr,3-May,14-May,29-May,5-Jun,12-Jun,26-Jun,,,,,,,,
3,AZ,,,11-Apr,21-Apr,30-Apr,7-May,15-May,28-May,10-Jun,17-Jun,,,,,,,,
3,AR,,,18-Apr,28-Apr,16-May,27-May,5-Jun,22-Jun,10-Jul,17-Jul,,,,,,,,
3,CA,,,10-Apr,19-Apr,5-May,18-May,1-Jun,14-Jun,22-Jun,2-Jul,,,,,,,,
3,CO,,,9-Apr,18-Apr,4-May,17-May,26-May,2-Jun,17-Jun,5-Jul,,,,,,,,
3,CT,,,18-Apr,6-May,26-May,4-Jun,20-Jun,3-Jul,17-Jul,31-Jul,,,,,,,,
3,DE,,,10-Apr,22-Apr,9-May,28-May,7-Jun,27-Jun,11-Jul,31-Jul,,,,,,,,
3,FL,,,21-Apr,2-May,11-May,28-May,11-Jun,22-Jun,6-Jul,22-Jul,,,,,,,,
3,GA,,,14-Apr,21-Apr,4-May,18-May,25-May,3-Jun,20-Jun,8-Jul,,,,,,,,
3,ID,,,17-Apr,30-Apr,8-May,22-May,29-May,18-Jun,3-Jul,16-Jul,,,,,,,,
3,IL,,,21-Apr,1-May,9-May,28-May,6-Jun,13-Jun,3-Jul,15-Jul,,,,,,,,
3,IN,,,11-Apr,22-Apr,1-May,15-May,29-May,7-Jun,18-Jun,25-Jun,,,,,,,,
3,IA,,,12-Apr,22-Apr,30-Apr,20-May,31-May,11-Jun,25-Jun,15-Jul,,,,,,,,
3,KS,,,17-Apr,25-Apr,9-May,29-May,7-Jun,15-Jun,24-Jun,4-Jul,,,,,,,,
3,KY,,,11-Apr,1-May,18-May,31-May,11-Jun,22-Jun,3-Jul,19-Jul,,,,,,,,
3,LA,,,21-Apr,3-May,15-May,27-May,10-Jun,26-Jun,14-Jul,1-Aug,,,,,,,,
3,ME,,,9-Apr,25-Apr,13-May,30-May,19-Jun,6-Jul,26-Jul,9-Aug,,,,,,,,
3,MD,,,11-Apr,21-Apr,28-Apr,5-May,21-May,2-Jun,10-Jun,30-Jun,,,,,,,,
3,MA,,,9-Apr,22-Apr,8-May,26-May,6-Jun,26-Jun,12-Jul,21-Jul,,,,,,,,
3,MI,,,19-Apr,9-May,26-May,14-Jun,25-Jun,12-Jul,26-Jul,9-Aug,,,,,,,,
3,MN,,,15-Apr,5-May,25-May,14-Jun,2-Jul,21-Jul,2-Aug,13-Aug,,,,,,,,
3,MS,,,16-Apr,28-Apr,17-May,6-Jun,25-Jun,6-Jul,22-Jul,8-Aug,,,,,,,,
3,MO,,,13-Apr,1-May,19-May,29-May,17-Jun,25-Jun,11-Jul,28-Jul,,,,,,,,
3,MT,,,12-Apr,27-Apr,10-May,29-May,10-Jun,23-Jun,4-Jul,16-Jul,,,,,,,,
3,NE,,,16-Apr,24-Apr,7-May,25-May,5-Jun,24-Jun,5-Jul,16-Jul,,,,,,,,
3,NV,,,17-Apr,27-Apr,17-May,3-Jun,11-Jun,25-Jun,8-Jul,15-Jul,,,,,,,,
3,NH,,,17-Apr,3-May,12-May,23-May,4-Jun,15-Jun,26-Jun,12-Jul,,,,,,,,
3,NJ,,,15-Apr,5-May,22-May,11-Jun,1-Jul,8-Jul,22-Jul,10-Aug,,,,,,,,
3,NM,,,13-Apr,28-Apr,12-May,21-May,7-Jun,25-Jun,4-Jul,13-Jul,,,,,,,,
3,NY,,,14-Apr,25-Apr,15-May,26-May,15-Jun,26-Jun,7-Jul,16-Jul,,,,,,,,
3,NC,,,9-Apr,28-Apr,9-May,18-May,31-May,9-Jun,27-Jun,9-Jul,,,,,,,,
3,ND,,,9-Apr,22-Apr,8-May,26-May,12-Jun,2-Jul,19-Jul,8-Aug,,,,,,,,
3,OH,,,21-Apr,30-Apr,15-May,3-Jun,21-Jun,7-Jul,15-Jul,22-Jul,,,,,,,,
3,OK,,,16-Apr,30-Apr,8-May,15-May,22-May,2-Jun,20-Jun,9-Jul,,,,,,,,
3,OR,,,15-Apr,25-Apr,2-May,14-May,29-May,12-Jun,23-Jun,11-Jul,,,,,,,,
3,PA,,,11-Apr,19-Apr,26-Apr,8-May,21-May,9-Jun,20-Jun,2-Jul,,,,,,,,
3,RI,,,13-Apr,21-Apr,11-May,25-May,9-Jun,17-Jun,5-Jul,18-Jul,,,,,,,,
3,SC,,,14-Apr,26-Apr,10-May,29-May,13-Jun,26-Jun,3-Jul,21-Jul,,,,,,,,
3,SD,,,9-Apr,21-Apr,3-May,22-May,31-May,16-Jun,5-Jul,24-Jul,,,,,,,,
3,TN,,,14-Apr,22-Apr,12-May,23-May,8-Jun,15-Jun,29-Jun,10-Jul,,,,,,,,
3,TX,,,8-Apr,15-Apr,25-Apr,11-May,22-May,5-Jun,13-Jun,30-Jun,,,,,,,,
3,UT,,,20-Apr,6-May,19-May,6-Jun,15-Jun,28-Jun,13-Jul,25-Jul,,,,,,,,
3,VT,,,15-Apr,29-Apr,6-May,17-May,31-May,9-Jun,21-Jun,1-Jul,,,,,,,,
3,VA,,,14-Apr,30-Apr,20-May,29-May,15-Jun,30-Jun,9-Jul,21-Jul,,,,,,,,
3,WA,,,8-Apr,26-Apr,4-May,16-May,23-May,5-Jun,21-Jun,29-Jun,,,,,,,,
3,WV,,,9-Apr,26-Apr,8-May,20-May,5-Jun,18-Jun,3-Jul,20-Jul,,,,,,,,
3,WI,,,21-Apr,1-May,17-May,5-Jun,18-Jun,8-Jul,24-Jul,3-Aug,,,,,,,,
3,WY,,,10-Apr,28-Apr,18-May,25-May,2-Jun,22-Jun,6-Jul,24-Jul,,,,,,,,
4,AL,,,20-Apr,10-May,19-May,3-Jun,20-Jun,7-Jul,20-Jul,8-Aug,,,,,,,,
4,AZ,,,16-Apr,27-Apr,12-May,26-May,5-Jun,16-Jun,26-Jun,8-Jul,,,,,,,,
4,AR,,,15-Apr,1-May,10-May,27-May,6-Jun,17-Jun,28-Jun,13-Jul,,,,,,,,
4,CA,,,16-Apr,1-May,8-May,25-May,1-Jun,14-Jun,27-Jun,8-Jul,,,,,,,,
4,CO,,,9-Apr,16-Apr,6-May,16-May,4-Jun,15-Jun,27-Jun,6-Jul,,,,,,,,
4,CT,,,21-Apr,10-May,29-May,14-Jun,3-Jul,19-Jul,29-Jul,13-Aug,,,,,,,,
4,DE,,,15-Apr,25-Apr,6-May,22-May,1-Jun,8-Jun,19-Jun,6-Jul,,,,,,,,
4,FL,,,10-Apr,24-Apr,4-May,21-May,10-Jun,18-Jun,1-Jul,21-Jul,,,,,,,,
4,GA,,,20-Apr,29-Apr,18-May,1-Jun,17-Jun,30-Jun,17-Jul,25-Jul,,,,,,,,
4,ID,,,18-Apr,29-Apr,7-May,15-May,25-May,14-Jun,26-Jun,5-Jul,,,,,,,,
4,IL,,,19-Apr,3-May,16-May,5-Jun,16-Jun,6-Jul,14-Jul,21-Jul,,,,,,,,
4,IN,,,12-Apr,30-Apr,20-May,8-Jun,25-Jun,3-Jul,23-Jul,4-Aug,,,,,,,,
4,IA,,,14-Apr,29-Apr,17-May,6-Jun,24-Jun,13-Jul,23-Jul,1-Aug,,,,,,,,
4,KS,,,15-Apr,24-Apr,13-May,26-May,15-Jun,26-Jun,12-Jul,24-Jul,,,,,,,,
4,KY,,,17-Apr,3-May,15-May,4-Jun,19-Jun,1-Jul,8-Jul,15-Jul,,,,,,,,
4,LA,,,20-Apr,10-May,27-May,10-Jun,23-Jun,8-Jul,28-Jul,8-Aug,,,,,,,,
4,ME,,,11-Apr,23-Apr,10-May,18-May,7-Jun,24-Jun,11-Jul,21-Jul,,,,,,,,
4,MD,,,16-Apr,23-Apr,2-May,12-May,20-May,8-Jun,20-Jun,30-Jun,,,,,,,,
4,MA,,,15-Apr,22-Apr,2-May,15-May,25-May,2-Jun,14-Jun,24-Jun,,,,,,,,
4,MI,,,20-Apr,30-Apr,20-May,8-Jun,18-Jun,4-Jul,14-Jul,3-Aug,,,,,,,,
4,MN,,,19-Apr,5-May,12-May,30-May,13-Jun,22-Jun,8-Jul,21-Jul,,,,,,,,
4,MS,,,14-Apr,1-May,13-May,30-May,7-Jun,25-Jun,10-Jul,28-Jul,,,,,,,,
4,MO,,,9-Apr,20-Apr,1-May,15-May,30-May,9-Jun,16-Jun,23-Jun,,,,,,,,
4,MT,,,8-Apr,25-Apr,9-May,20-May,9-Jun,18-Jun,4-Jul,19-Jul,,,,,,,,
4,NE,,,13-Apr,26-Apr,16-May,29-May,7-Jun,18-Jun,3-Jul,13-Jul,,,,,,,,
4,NV,,,8-Apr,27-Apr,11-May,27-May,4-Jun,15-Jun,27-Jun,4-Jul,,,,,,,,
4,NH,,,14-Apr,29-Apr,7-May,20-May,29-May,6-Jun,23-Jun,10-Jul,,,,,,,,
4,NJ,,,18-Apr,3-May,17-May,27-May,16-Jun,5-Jul,13-Jul,28-Jul,,,,,,,,
4,NM,,,19-Apr,30-Apr,14-May,29-May,7-Jun,25-Jun,5-Jul,19-Jul,,,,,,,,
4,NY,,,13-Apr,3-May,21-May,2-Jun,22-Jun,30-Jun,10-Jul,24-Jul,,,,,,,,
4,NC,,,14-Apr,3-May,10-May,25-May,4-Jun,17-Jun,5-Jul,17-Jul,,,,,,,,
4,ND,,,15-Apr,1-May,10-May,28-May,6-Jun,23-Jun,11-Jul,22-Jul,,,,,,,,
4,OH,,,8-Apr,18-Apr,6-May,26-May,12-Jun,2-Jul,14-Jul,29-Jul,,,,,,,,
4,OK,,,8-Apr,23-Apr,3-May,17-May,31-May,8-Jun,15-Jun,22-Jun,,,,,,,,
4,OR,,,21-Apr,8-May,19-May,26-May,4-Jun,13-Jun,28-Jun,10-Jul,,,,,,,,
4,PA,,,11-Apr,27-Apr,8-May,25-May,11-Jun,25-Jun,13-Jul,31-Jul,,,,,,,,
4,RI,,,12-Apr,24-Apr,1-May,19-May,8-Jun,25-Jun,7-Jul,19-Jul,,,,,,,,
4,SC,,,13-Apr,1-May,20-May,4-Jun,12-Jun,21-Jun,8-Jul,17-Jul,,,,,,,,
4,SD,,,18-Apr,6-May,18-May,30-May,12-Jun,21-Jun,6-Jul,23-Jul,,,,,,,,
4,TN,,,9-Apr,25-Apr,6-May,18-May,5-Jun,25-Jun,6-Jul,26-Jul,,,,,,,,
4,TX,,,11-Apr,21-Apr,10-May,26-May,8-Jun,25-Jun,15-Jul,1-Aug,,,,,,,,
4,UT,,,8-Apr,18-Apr,25-Apr,12-May,28-May,6-Jun,19-Jun,30-Jun,,,,,,,,
4,VT,,,20-Apr,6-May,16-May,5-Jun,16-Jun,24-Jun,11-Jul,28-Jul,,,,,,,,
4,VA,,,11-Apr,21-Apr,9-May,21-May,4-Jun,22-Jun,12-Jul,21-Jul,,,,,,,,
4,WA,,,17-Apr,2-May,19-May,6-Jun,26-Jun,3-Jul,10-Jul,18-Jul,,,,,,,,
4,WV,,,14-Apr,1-May,13-May,26-May,5-Jun,16-Jun,26-Jun,3-Jul,,,,,,,,
4,WI,,,17-Apr,6-May,14-May,31-May,12-Jun,27-Jun,16-Jul,29-Jul,,,,,,,,
4,WY,,,16-Apr,26-Apr,16-May,24-May,7-Jun,25-Jun,4-Jul,14-Jul,,,,,,,,
5,AL,,,19-Apr,6-May,18-May,26-May,6-Jun,15-Jun,22-Jun,3-Jul,,,,,,,,
5,AZ,,,13-Apr,24-Apr,10-May,26-May,10-Jun,23-Jun,10-Jul,27-Jul,,,,,,,,
5,AR,,,16-Apr,23-Apr,4-May,16-May,30-May,6-Jun,17-Jun,3-Jul,,,,,,,,
5,CA,,,9-Apr,19-Apr,8-May,23-May,30-May,13-Jun,21-Jun,10-Jul,,,,,,,,
5,CO,,,11-Apr,26-Apr,13-May,22-May,1-Jun,8-Jun,15-Jun,1-Jul,,,,,,,,
5,CT,,,13-Apr,2-May,13-May,30-May,7-Jun,17-Jun,30-Jun,9-Jul,,,,,,,,
5,DE,,,8-Apr,24-Apr,14-May,30-May,12-Jun,22-Jun,9-Jul,16-Jul,,,,,,,,
5,FL,,,18-Apr,8-May,23-May,5-Jun,18-Jun,30-Jun,12-Jul,24-Jul,,,,,,,,
5,GA,,,17-Apr,5-May,14-May,30-May,15-Jun,25-Jun,9-Jul,28-Jul,,,,,,,,
5,ID,,,21-Apr,1-May,16-May,28-May,16-Jun,23-Jun,11-Jul,24-Jul,,,,,,,,
5,IL,,,18-Apr,25-Apr,2-May,18-May,27-May,8-Jun,25-Jun,6-Jul,,,,,,,,
5,IN,,,13-Apr,21-Apr,11-May,30-May,7-Jun,14-Jun,27-Jun,7-Jul,,,,,,,,
5,IA,,,8-Apr,28-Apr,6-May,15-May,4-Jun,18-Jun,4-Jul,15-Jul,,,,,,,,
5,KS,,,10-Apr,30-Apr,15-May,25-May,8-Jun,21-Jun,6-Jul,18-Jul,,,,,,,,
5,KY,,,13-Apr,27-Apr,12-May,1-Jun,17-Jun,3-Jul,15-Jul,28-Jul,,,,,,,,
5,LA,,,14-Apr,28-Apr,15-May,27-May,5-Jun,16-Jun,27-Jun,6-Jul,,,,,,,,
5,ME,,,21-Apr,2-May,21-May,1-Jun,19-Jun,29-Jun,14-Jul,1-Aug,,,,,,,,
5,MD,,,8-Apr,27-Apr,6-May,13-May,23-May,8-Jun,18-Jun,1-Jul,,,,,,,,
5,MA,,,16-Apr,2-May,11-May,19-May,7-Jun,20-Jun,27-Jun,14-Jul,,,,,,,,
5,MI,,,11-Apr,1-May,9-May,29-May,12-Jun,19-Jun,7-Jul,22-Jul,,,,,,,,
5,MN,,,15-Apr,24-Apr,10-May,30-May,6-Jun,18-Jun,27-Jun,10-Jul,,,,,,,,
5,MS,,,13-Apr,22-Apr,2-May,21-May,4-Jun,18-Jun,6-Jul,14-Jul,,,,,,,,
5,MO,,,17-Apr,1-May,13-May,21-May,6-Jun,25-Jun,4-Jul,21-Jul,,,,,,,,
5,MT,,,21-Apr,29-Apr,11-May,20-May,28-May,4-Jun,24-Jun,12-Jul,,,,,,,,
5,NE,,,15-Apr,4-May,22-May,1-Jun,16-Jun,5-Jul,23-Jul,6-Aug,,,,,,,,
5,NV,,,9-Apr,22-Apr,6-May,18-May,6-Jun,13-Jun,3-Jul,22-Jul,,,,,,,,
5,NH,,,12-Apr,23-Apr,12-May,25-May,9-Jun,21-Jun,10-Jul,26-Jul,,,,,,,,
5,NJ,,,18-Apr,29-Apr,8-May,26-May,7-Jun,22-Jun,9-Jul,23-Jul,,,,,,,,
5,NM,,,10-Apr,25-Apr,11-May,21-May,9-Jun,27-Jun,13-Jul,31-Jul,,,,,,,,
5,NY,,,12-Apr,24-Apr,4-May,12-May,21-May,2-Jun,11-Jun,1-Jul,,,,,,,,
5,NC,,,11-Apr,29-Apr,13-May,30-May,19-Jun,1-Jul,10-Jul,25-Jul,,,,,,,,
5,ND,,,14-Apr,2-May,17-May,5-Jun,12-Jun,28-Jun,5-Jul,23-Jul,,,,,,,,
5,OH,,,9-Apr,18-Apr,7-May,20-May,28-May,16-Jun,26-Jun,4-Jul,,,,,,,,
5,OK,,,18-Apr,30-Apr,7-May,25-May,10-Jun,17-Jun,25-Jun,9-Jul,,,,,,,,
5,OR,,,20-Apr,2-May,15-May,22-May,5-Jun,15-Jun,4-Jul,22-Jul,,,,,,,,
5,PA,,,11-Apr,25-Apr,3-May,17-May,1-Jun,14-Jun,24-Jun,3-Jul,,,,,,,,
5,RI,,,21-Apr,5-May,13-May,1-Jun,21-Jun,1-Jul,19-Jul,28-Jul,,,,,,,,
5,SC,,,21-Apr,1-May,13-May,30-May,19-Jun,29-Jun,16-Jul,3-Aug,,,,,,,,
5,SD,,,20-Apr,4-May,13-May,20-May,2-Jun,21-Jun,10-Jul,18-Jul,,,,,,,,
5,TN,,,18-Apr,29-Apr,6-May,26-May,8-Jun,26-Jun,13-Jul,24-Jul,,,,,,,,
5,TX,,,15-Apr,24-Apr,14-May,31-May,10-Jun,24-Jun,3-Jul,18-Jul,,,,,,,,
