,cdl,cdl_desc,gen_class,gen_class_desc,label_group_desc,label_group_desc_corr,label_group,name,cintcp,covmax,amxdr,cfact_fal,cfact_cov,mannings_n,double_crop_a,double_crop_b,cultivated_cdl,state,cdl_a,cdl_b,plant_begin_a,plant_begin_active_begin_a,plant_begin_active_end_a,plant_end_a,harvest_begin_a,harvest_begin_active_begin_a,harvest_begin_active_end_a,harvest_end_a,plant_begin_b,plant_begin_active_begin_b,plant_begin_active_end_b,plant_end_b,harvest_begin_b,harvest_begin_active_begin_b,harvest_begin_active_end_b,harvest_end_b,Unnamed: 0,irrigation_flag,irrigation_type,irrigated_fraction,above_canopy_acres,below_canopy_acres,cultivated_gen,cn_fallow_A,cn_fallow_B,cn_fallow_C,cn_fallow_D,cn_ag_A,cn_ag_B,cn_ag_C,cn_ag_D
22,1,Corn,10,Corn,Cereal Grains,Cereal Grains,15B,Corn,0.25,100.0,90.0,0.638,0.017,0.013999999999999999,,,1.0,MO,,,13-Apr,24-Apr,9-May,21-May,2-Jun,11-Jun,22-Jun,30-Jun,,,,,,,,,24.0,1.0,over,0.7020000000000001,190355.0,160570.0,1,74,83,88,90,64,74,81,85
23,1,Corn,10,Corn,Cereal Grains,Cereal Grains,15B,Corn,0.25,100.0,90.0,0.638,0.017,0.013999999999999999,,,1.0,MT,,,10-Apr,22-Apr,2-May,21-May,28-May,10-Jun,25-Jun,13-Jul,,,,,,,,,25.0,1.0,over,0.878,39434.0,38258.0,1,74,83,88,90,64,74,81,85
24,1,Corn,10,Corn,Cereal Grains,Cereal Grains,15B,Corn,0.25,100.0,90.0,0.638,0.017,0.013999999999999999,,,1.0,NE,,,11-Apr,30-Apr,17-May,31-May,14-Jun,27-Jun,13-Jul,31-Jul,,,,,,,,,26.0,1.0,over,0.7859999999999999,5169273.0,479904.0,1,74,83,88,90,64,74,81,85
25,1,Corn,10,Corn,Cereal Grains,Cereal Grains,15B,Corn,0.25,100.0,90.0,0.638,0.017,0.013999999999999999,,,1.0,NV,,,15-Apr,22-Apr,8-May,21-May,4-Jun,18-Jun,30-Jun,10-Jul,,,,,,,,,27.0,1.0,under,1.0,4714.0,9539.0,1,74,83,88,90,64,74,81,85
26,1,Corn,10,Corn,Cereal Grains,Cereal Grains,15B,Corn,0.25,100.0,90.0,0.638,0.017,0.013999999999999999,,,1.0,NH,,,19-Apr,26-Apr,15-May,22-May,5-Jun,25-Jun,6-Jul,14-Jul,,,,,,,,,28.0,0.0,,0.0,0.0,0.0,1,74,83,88,90,64,74,81,85
27,1,Corn,10,Corn,Cereal Grains,Cereal Grains,15B,Corn,0.25,100.0,90.0,0.638,0.017,0.013999999999999999,,,1.0,NJ,,,10-Apr,20-Apr,4-May,20-May,8-Jun,18-Jun,1-Jul,16-Jul,,,,,,,,,29.0,1.0,over,0.42,8246.0,440.0,1,74,83,88,90,64,74,81,85
28,1,Corn,10,Corn,Cereal Grains,Cereal Grains,15B,Corn,0.25,100.0,90.0,0.638,0.017,0.013999999999999999,,,1.0,NM,,,10-Apr,25-Apr,6-May,20-May,30-May,15-Jun,2-Jul,20-Jul,,,,,,,,,30.0,1.0,over,0.993,110759.0,13139.0,1,74,83,88,90,64,74,81,85
29,1,Corn,10,Corn,Cereal Grains,Cereal Grains,15B,Corn,0.25,100.0,90.0,0.638,0.017,0.013999999999999999,,,1.0,NY,,,18-Apr,25-Apr,6-May,22-May,9-Jun,25-Jun,2-Jul,13-Jul,,,,,,,,,31.0,0.0,,0.08800000000000001,3416.0,0.0,1,74,83,88,90,64,74,81,85
30,1,Corn,10,Corn,Cereal Grains,Cereal Grains,15B,Corn,0.25,100.0,90.0,0.638,0.017,0.013999999999999999,,,1.0,NC,,,16-Apr,26-Apr,5-May,22-May,4-Jun,14-Jun,2-Jul,13-Jul,,,,,,,,,32.0,0.0,,0.383,28890.0,0.0,1,74,83,88,90,64,74,81,85
31,1,Corn,10,Corn,Cereal Grains,Cereal Grains,15B,Corn,0.25,100.0,90.0,0.638,0.017,0.013999999999999999,,,1.0,ND,,,17-Apr,24-Apr,8-May,26-May,4-Jun,11-Jun,18-Jun,27-Jun,,,,,,,,,33.0,0.0,,0.306,93535.0,1944.0,1,74,83,88,90,64,74,81,85
32,1,Corn,10,Corn,Cereal Grains,Cereal Grains,15B,Corn,0.25,100.0,90.0,0.638,0.017,0.013999999999999999,,,1.0,OH,,,9-Apr,20-Apr,7-May,15-May,25-May,2-Jun,9-Jun,16-Jun,,,,,,,,,34.0,0.0,,0.207,11434.0,0.0,1,74,83,88,90,64,74,81,85
33,1,Corn,10,Corn,Cereal Grains,Cereal Grains,15B,Corn,0.25,100.0,90.0,0.638,0.017,0.013999999999999999,,,1.0,OK,,,12-Apr,26-Apr,12-May,29-May,7-Jun,22-Jun,4-Jul,21-Jul,,,,,,,,,35.0,1.0,over,0.908,118927.0,1775.0,1,74,83,88,90,64,74,81,85
34,1,Corn,10,Corn,Cereal Grains,Cereal Grains,15B,Corn,0.25,100.0,90.0,0.638,0.017,0.013999999999999999,,,1.0,OR,,,14-Apr,25-Apr,10-May,25-May,10-Jun,18-Jun,29-Jun,6-Jul,,,,,,,,,36.0,1.0,over,0.981,54885.0,17074.0,1,74,83,88,90,64,74,81,85
35,1,Corn,10,Corn,Cereal Grains,Cereal Grains,15B,Corn,0.25,100.0,90.0,0.638,0.017,0.013999999999999999,,,1.0,PA,,,13-Apr,30-Apr,8-May,25-May,10-Jun,18-Jun,26-Jun,3-Jul,,,,,,,,,37.0,0.0,,0.066,3095.0,0.0,1,74,83,88,90,64,74,81,85
36,1,Corn,10,Corn,Cereal Grains,Cereal Grains,15B,Corn,0.25,100.0,90.0,0.638,0.017,0.013999999999999999,,,1.0,RI,,,13-Apr,24-Apr,13-May,31-May,9-Jun,26-Jun,6-Jul,24-Jul,,,,,,,,,38.0,0.0,,0.0,0.0,0.0,1,74,83,88,90,64,74,81,85
37,1,Corn,10,Corn,Cereal Grains,Cereal Grains,15B,Corn,0.25,100.0,90.0,0.638,0.017,0.013999999999999999,,,1.0,SC,,,12-Apr,30-Apr,13-May,25-May,12-Jun,1-Jul,18-Jul,25-Jul,,,,,,,,,39.0,1.0,over,0.479,43342.0,0.0,1,74,83,88,90,64,74,81,85
38,1,Corn,10,Corn,Cereal Grains,Cereal Grains,15B,Corn,0.25,100.0,90.0,0.638,0.017,0.013999999999999999,,,1.0,SD,,,14-Apr,25-Apr,10-May,23-May,7-Jun,26-Jun,8-Jul,23-Jul,,,,,,,,,40.0,0.0,,0.325,204737.0,6868.0,1,74,83,88,90,64,74,81,85
39,1,Corn,10,Corn,Cereal Grains,Cereal Grains,15B,Corn,0.25,100.0,90.0,0.638,0.017,0.013999999999999999,,,1.0,TN,,,18-Apr,8-May,24-May,2-Jun,19-Jun,7-Jul,23-Jul,30-Jul,,,,,,,,,41.0,0.0,,0.376,70041.0,0.0,1,74,83,88,90,64,74,81,85
40,1,Corn,10,Corn,Cereal Grains,Cereal Grains,15B,Corn,0.25,100.0,90.0,0.638,0.017,0.013999999999999999,,,1.0,TX,,,14-Apr,22-Apr,10-May,19-May,29-May,14-Jun,21-Jun,29-Jun,,,,,,,,,42.0,1.0,over,0.878,872367.0,79177.0,1,74,83,88,90,64,74,81,85
41,1,Corn,10,Corn,Cereal Grains,Cereal Grains,15B,Corn,0.25,100.0,90.0,0.638,0.017,0.013999999999999999,,,1.0,UT,,,12-Apr,24-Apr,3-May,13-May,31-May,12-Jun,2-Jul,10-Jul,,,,,,,,,43.0,1.0,under,0.984,43156.0,51336.0,1,74,83,88,90,64,74,81,85
42,1,Corn,10,Corn,Cereal Grains,Cereal Grains,15B,Corn,0.25,100.0,90.0,0.638,0.017,0.013999999999999999,,,1.0,VT,,,15-Apr,22-Apr,7-May,16-May,2-Jun,13-Jun,28-Jun,15-Jul,,,,,,,,,44.0,0.0,,0.0,0.0,0.0,1,74,83,88,90,64,74,81,85
43,1,Corn,10,Corn,Cereal Grains,Cereal Grains,15B,Corn,0.25,100.0,90.0,0.638,0.017,0.013999999999999999,,,1.0,VA,,,11-Apr,18-Apr,30-Apr,20-May,8-Jun,16-Jun,23-Jun,11-Jul,,,,,,,,,45.0,0.0,,0.271,16317.0,0.0,1,74,83,88,90,64,74,81,85
44,1,Corn,10,Corn,Cereal Grains,Cereal Grains,15B,Corn,0.25,100.0,90.0,0.638,0.017,0.013999999999999999,,,1.0,WA,,,21-Apr,4-May,17-May,27-May,9-Jun,23-Jun,11-Jul,30-Jul,,,,,,,,,46.0,1.0,over,0.915,142486.0,22683.0,1,74,83,88,90,64,74,81,85
45,1,Corn,10,Corn,Cereal Grains,Cereal Grains,15B,Corn,0.25,100.0,90.0,0.638,0.017,0.013999999999999999,,,1.0,WV,,,8-Apr,22-Apr,5-May,12-May,26-May,5-Jun,13-Jun,3-Jul,,,,,,,,,47.0,1.0,over,0.522,528.0,0.0,1,74,83,88,90,64,74,81,85
46,1,Corn,10,Corn,Cereal Grains,Cereal Grains,15B,Corn,0.25,100.0,90.0,0.638,0.017,0.013999999999999999,,,1.0,WI,,,18-Apr,27-Apr,6-May,17-May,25-May,12-Jun,28-Jun,12-Jul,,,,,,,,,48.0,1.0,over,0.434,172767.0,0.0,1,74,83,88,90,64,74,81,85
47,1,Corn,10,Corn,Cereal Grains,Cereal Grains,15B,Corn,0.25,100.0,90.0,0.638,0.017,0.013999999999999999,,,1.0,WY,,,11-Apr,18-Apr,28-Apr,9-May,19-May,28-May,12-Jun,26-Jun,,,,,,,,,49.0,1.0,over,0.993,54230.0,36945.0,1,74,83,88,90,64,74,81,85
48,2,Cotton,20,Cotton,not listed,Oilseed,20C,Cotton,0.2,100.0,65.0,0.71,0.218,0.013999999999999999,,,1.0,AL,,,20-Apr,8-May,24-May,1-Jun,14-Jun,3-Jul,18-Jul,30-Jul,,,,,,,,,50.0,0.0,,0.204,11500.0,654.0,1,74,83,88,90,64,74,81,85
49,2,Cotton,20,Cotton,not listed,Oilseed,20C,Cotton,0.2,100.0,65.0,0.71,0.218,0.013999999999999999,,,1.0,AZ,,,18-Apr,3-May,15-May,22-May,7-Jun,17-Jun,24-Jun,6-Jul,,,,,,,,,52.0,1.0,under,1.0,19383.0,152519.0,1,74,83,88,90,64,74,81,85
50,2,Cotton,20,Cotton,not listed,Oilseed,20C,Cotton,0.2,100.0,65.0,0.71,0.218,0.013999999999999999,,,1.0,AR,,,8-Apr,22-Apr,30-Apr,9-May,19-May,3-Jun,20-Jun,8-Jul,,,,,,,,,53.0,1.0,under,0.927,117414.0,129428.0,1,74,83,88,90,64,74,81,85
51,2,Cotton,20,Cotton,not listed,Oilseed,20C,Cotton,0.2,100.0,65.0,0.71,0.218,0.013999999999999999,,,1.0,CA,,,18-Apr,25-Apr,12-May,30-May,9-Jun,25-Jun,4-Jul,12-Jul,,,,,,,,,54.0,1.0,under,1.0,37371.0,237463.0,1,74,83,88,90,64,74,81,85
52,2,Cotton,20,Cotton,not listed,Oilseed,20C,Cotton,0.2,100.0,65.0,0.71,0.218,0.013999999999999999,,,1.0,CO,,,8-Apr,17-Apr,2-May,12-May,30-May,16-Jun,5-Jul,12-Jul,,,,,,,,,55.0,0.0,,0.0,0.0,0.0,1,74,83,88,90,64,74,81,85
53,2,Cotton,20,Cotton,not listed,Oilseed,20C,Cotton,0.2,100.0,65.0,0.71,0.218,0.013999999999999999,,,1.0,CT,,,11-Apr,22-Apr,7-May,27-May,6-Jun,19-Jun,28-Jun,10-Jul,,,,,,,,,56.0,0.0,,0.0,0.0,0.0,1,74,83,88,90,64,74,81,85
54,2,Cotton,20,Cotton,not listed,Oilseed,20C,Cotton,0.2,100.0,65.0,0.71,0.218,0.013999999999999999,,,1.0,DE,,,18-Apr,28-Apr,9-May,26-May,4-Jun,17-Jun,30-Jun,13-Jul,,,,,,,,,57.0,0.0,,0.0,0.0,0.0,1,74,83,88,90,64,74,81,85
55,2,Cotton,20,Cotton,not listed,Oilseed,20C,Cotton,0.2,100.0,65.0,0.71,0.218,0.013999999999999999,,,1.0,FL,,,11-Apr,30-Apr,12-May,28-May,11-Jun,18-Jun,6-Jul,17-Jul,,,,,,,,,58.0,1.0,over,0.406,16771.0,180.0,1,74,83,88,90,64,74,81,85
56,2,Cotton,20,Cotton,not listed,Oilseed,20C,Cotton,0.2,100.0,65.0,0.71,0.218,0.013999999999999999,,,1.0,GA,,,16-Apr,30-Apr,19-May,30-May,15-Jun,3-Jul,10-Jul,27-Jul,,,,,,,,,59.0,1.0,over,0.488,361858.0,450.0,1,74,83,88,90,64,74,81,85
57,2,Cotton,20,Cotton,not listed,Oilseed,20C,Cotton,0.2,100.0,65.0,0.71,0.218,0.013999999999999999,,,1.0,ID,,,15-Apr,5-May,22-May,3-Jun,16-Jun,23-Jun,6-Jul,25-Jul,,,,,,,,,61.0,0.0,,0.0,0.0,0.0,1,74,83,88,90,64,74,81,85
58,2,Cotton,20,Cotton,not listed,Oilseed,20C,Cotton,0.2,100.0,65.0,0.71,0.218,0.013999999999999999,,,1.0,IL,,,10-Apr,19-Apr,1-May,17-May,29-May,15-Jun,26-Jun,7-Jul,,,,,,,,,62.0,1.0,under,1.0,0.0,286.0,1,74,83,88,90,64,74,81,85
59,2,Cotton,20,Cotton,not listed,Oilseed,20C,Cotton,0.2,100.0,65.0,0.71,0.218,0.013999999999999999,,,1.0,IN,,,8-Apr,20-Apr,4-May,11-May,24-May,4-Jun,13-Jun,20-Jun,,,,,,,,,63.0,0.0,,0.0,0.0,0.0,1,74,83,88,90,64,74,81,85
60,2,Cotton,20,Cotton,not listed,Oilseed,20C,Cotton,0.2,100.0,65.0,0.71,0.218,0.013999999999999999,,,1.0,IA,,,21-Apr,30-Apr,11-May,30-May,10-Jun,25-Jun,6-Jul,14-Jul,,,,,,,,,64.0,0.0,,0.0,0.0,0.0,1,74,83,88,90,64,74,81,85
61,2,Cotton,20,Cotton,not listed,Oilseed,20C,Cotton,0.2,100.0,65.0,0.71,0.218,0.013999999999999999,,,1.0,KS,,,18-Apr,6-May,26-May,2-Jun,9-Jun,29-Jun,6-Jul,23-Jul,,,,,,,,,65.0,1.0,over,1.0,11561.0,2396.0,1,74,83,88,90,64,74,81,85
62,2,Cotton,20,Cotton,not listed,Oilseed,20C,Cotton,0.2,100.0,65.0,0.71,0.218,0.013999999999999999,,,1.0,KY,,,12-Apr,19-Apr,4-May,19-May,27-May,8-Jun,28-Jun,14-Jul,,,,,,,,,66.0,0.0,,0.0,0.0,0.0,1,74,83,88,90,64,74,81,85
63,2,Cotton,20,Cotton,not listed,Oilseed,20C,Cotton,0.2,100.0,65.0,0.71,0.218,0.013999999999999999,,,1.0,LA,,,21-Apr,8-May,23-May,30-May,7-Jun,21-Jun,6-Jul,18-Jul,,,,,,,,,67.0,1.0,under,0.471,8745.0,26928.0,1,74,83,88,90,64,74,81,85
64,2,Cotton,20,Cotton,not listed,Oilseed,20C,Cotton,0.2,100.0,65.0,0.71,0.218,0.013999999999999999,,,1.0,ME,,,17-Apr,3-May,11-May,25-May,14-Jun,25-Jun,3-Jul,11-Jul,,,,,,,,,68.0,0.0,,0.0,0.0,0.0,1,74,83,88,90,64,74,81,85
65,2,Cotton,20,Cotton,not listed,Oilseed,20C,Cotton,0.2,100.0,65.0,0.71,0.218,0.013999999999999999,,,1.0,MD,,,13-Apr,22-Apr,9-May,20-May,5-Jun,12-Jun,23-Jun,13-Jul,,,,,,,,,69.0,0.0,,0.0,0.0,0.0,1,74,83,88,90,64,74,81,85
66,2,Cotton,20,Cotton,not listed,Oilseed,20C,Cotton,0.2,100.0,65.0,0.71,0.218,0.013999999999999999,,,1.0,MA,,,10-Apr,23-Apr,1-May,20-May,29-May,17-Jun,25-Jun,11-Jul,,,,,,,,,70.0,0.0,,0.0,0.0,0.0,1,74,83,88,90,64,74,81,85
67,2,Cotton,20,Cotton,not listed,Oilseed,20C,Cotton,0.2,100.0,65.0,0.71,0.218,0.013999999999999999,,,1.0,MI,,,18-Apr,8-May,23-May,30-May,11-Jun,27-Jun,17-Jul,29-Jul,,,,,,,,,71.0,0.0,,0.0,0.0,0.0,1,74,83,88,90,64,74,81,85
68,2,Cotton,20,Cotton,not listed,Oilseed,20C,Cotton,0.2,100.0,65.0,0.71,0.218,0.013999999999999999,,,1.0,MN,,,14-Apr,27-Apr,17-May,24-May,13-Jun,23-Jun,10-Jul,17-Jul,,,,,,,,,72.0,0.0,,0.0,0.0,0.0,1,74,83,88,90,64,74,81,85
69,2,Cotton,20,Cotton,not listed,Oilseed,20C,Cotton,0.2,100.0,65.0,0.71,0.218,0.013999999999999999,,,1.0,MS,,,15-Apr,3-May,16-May,25-May,1-Jun,10-Jun,23-Jun,3-Jul,,,,,,,,,73.0,1.0,over,0.616,72712.0,51884.0,1,74,83,88,90,64,74,81,85
70,2,Cotton,20,Cotton,not listed,Oilseed,20C,Cotton,0.2,100.0,65.0,0.71,0.218,0.013999999999999999,,,1.0,MO,,,21-Apr,3-May,16-May,23-May,4-Jun,18-Jun,1-Jul,15-Jul,,,,,,,,,74.0,1.0,under,0.8809999999999999,62911.0,117217.0,1,74,83,88,90,64,74,81,85
71,2,Cotton,20,Cotton,not listed,Oilseed,20C,Cotton,0.2,100.0,65.0,0.71,0.218,0.013999999999999999,,,1.0,MT,,,14-Apr,4-May,11-May,26-May,12-Jun,26-Jun,7-Jul,17-Jul,,,,,,,,,75.0,0.0,,0.0,0.0,0.0,1,74,83,88,90,64,74,81,85
72,2,Cotton,20,Cotton,not listed,Oilseed,20C,Cotton,0.2,100.0,65.0,0.71,0.218,0.013999999999999999,,,1.0,NE,,,13-Apr,21-Apr,29-Apr,15-May,4-Jun,24-Jun,7-Jul,19-Jul,,,,,,,,,76.0,0.0,,0.0,0.0,0.0,1,74,83,88,90,64,74,81,85
73,2,Cotton,20,Cotton,not listed,Oilseed,20C,Cotton,0.2,100.0,65.0,0.71,0.218,0.013999999999999999,,,1.0,NV,,,16-Apr,1-May,9-May,19-May,2-Jun,9-Jun,18-Jun,1-Jul,,,,,,,,,77.0,0.0,,0.0,0.0,0.0,1,74,83,88,90,64,74,81,85
74,2,Cotton,20,Cotton,not listed,Oilseed,20C,Cotton,0.2,100.0,65.0,0.71,0.218,0.013999999999999999,,,1.0,NH,,,16-Apr,27-Apr,15-May,31-May,13-Jun,1-Jul,21-Jul,3-Aug,,,,,,,,,78.0,0.0,,0.0,0.0,0.0,1,74,83,88,90,64,74,81,85
75,2,Cotton,20,Cotton,not listed,Oilseed,20C,Cotton,0.2,100.0,65.0,0.71,0.218,0.013999999999999999,,,1.0,NJ,,,17-Apr,26-Apr,5-May,17-May,24-May,2-Jun,19-Jun,26-Jun,,,,,,,,,79.0,0.0,,0.0,0.0,0.0,1,74,83,88,90,64,74,81,85
76,2,Cotton,20,Cotton,not listed,Oilseed,20C,Cotton,0.2,100.0,65.0,0.71,0.218,0.013999999999999999,,,1.0,NM,,,16-Apr,26-Apr,12-May,24-May,31-May,13-Jun,24-Jun,1-Jul,,,,,,,,,80.0,1.0,over,0.985,22612.0,10836.0,1,74,83,88,90,64,74,81,85
77,2,Cotton,20,Cotton,not listed,Oilseed,20C,Cotton,0.2,100.0,65.0,0.71,0.218,0.013999999999999999,,,1.0,NY,,,19-Apr,27-Apr,4-May,12-May,27-May,7-Jun,18-Jun,1-Jul,,,,,,,,,81.0,0.0,,0.0,0.0,0.0,1,74,83,88,90,64,74,81,85
